calle;calleClean;name;surname;fiabilidad;gender;wikipedia
Calle Monseñor Víctor M. Sanabria Martínez;Monseñor Víctor M. Sanabria Martínez;Monseñor;Víctor;-2;Male;
Calle Julio Fonseca Gutiérrez;Julio Fonseca Gutiérrez;Julio;Fonseca;-2;Male;
Avenida Manuel Argüello Mora;Manuel Argüello Mora;Manuel;Argüello;-2;Male;
Calle José Daniel Zúñiga;José Daniel Zúñiga;José;Daniel;-2;Male;
Calle Guillermo Aguilar Machado;Guillermo Aguilar Machado;Guillermo;Aguilar;-2;Male;
Calle Miguel Hidalgo y Costilla;Miguel Hidalgo y Costilla;Miguel;Hidalgo;-2;Male;
Avenida Carlos Gagini;Carlos Gagini;Carlos;Gagini;-2;Male;
Avenida Manuel de Jesús Jiménez;Manuel Jesús Jiménez;Manuel;Jesús;-2;Male;
Calle José Joaquín Vargas Calvo;José Joaquín Vargas Calvo;José;Joaquín;-2;Male;
Calle Manuel María Gutiérrez;Manuel María Gutiérrez;Manuel;María;-2;Male;
Calle Rafael Chaves;Rafael Chaves;Rafael;Chaves;-2;Male;
Calle Alejandro Monestel;Alejandro Monestel;Alejandro;Monestel;-2;Male;
Avenida Jenaro Cardona;Jenaro Cardona;Jenaro;Cardona;-2;Male;
Calle José Martí;José Martí;José;Martí;-2;Male;
Calle Dr. Ricardo Moreno Cañas;Dr. Ricardo Moreno Cañas;Dr.;Ricardo;-2;Male;
Calle Ismael Murillo;Ismael Murillo;Ismael;Murillo;-2;Male;
Calle José Campabadal;José Campabadal;José;Campabadal;-2;Male;
Avenida Libertador Juan Rafael Mora;Libertador Juan Rafael Mora;Libertador;Juan;-2;Male;
Calle Roberto Brenes Mesén;Roberto Brenes Mesén;Roberto;Brenes;-2;Male;
Calle Alberto Brenes Córdoba;Alberto Brenes Córdoba;Alberto;Brenes;-2;Male;
Calle Fray Martín de Porres;Fray Martín Porres;Fray;Martín;-2;Male;
Avenida Dr. Adolfo Carit;Dr. Adolfo Carit;Dr.;Adolfo;-2;Male;
Rotonda de San Sebastián;San Sebastián;San;Sebastián;-2;Male;
Avenida Estado de Israel;Estado Israel;Estado;Israel;-2;Male;
Calle Marcial Segura;Marcial Segura;Marcial;Segura;-2;Male;
Calle San Cayetano;San Cayetano;San;Cayetano;-2;Male;
Calle San Pancracio;San Pancracio;San;Pancracio;-2;Male;
Calle Justo A. Facio;Justo A. Facio;Justo;A.;-2;Male;
Calle Francisco Soler;Francisco Soler;Francisco;Soler;-2;Male;
Avenida José María Alfaro Cooper;José María Alfaro Cooper;José;María;-2;Male;
Calle Julián Marchena;Julián Marchena;Julián;Marchena;-2;Male;
Calle Eduardo Calsamiglia;Eduardo Calsamiglia;Eduardo;Calsamiglia;-2;Male;
Avenida Anastasio Alfaro;Anastasio Alfaro;Anastasio;Alfaro;-2;Male;
Paseo Rubén Darío;Rubén Darío;Rubén;Darío;-2;Male;
Calle Ricardo Fernández Guardia;Ricardo Fernández Guardia;Ricardo;Fernández;-2;Male;
Avenida José Fabio Garnier;José Fabio Garnier;José;Fabio;-2;Male;
Calle Teodoro Quirós;Teodoro Quirós;Teodoro;Quirós;-2;Male;
Calle Rafael Ángel Troyo;Rafael Ángel Troyo;Rafael;Ángel;-2;Male;
Calle Miguel Obregón Lizano;Miguel Obregón Lizano;Miguel;Obregón;-2;Male;
Calle Alejandro Alvarado Quirós;Alejandro Alvarado Quirós;Alejandro;Alvarado;-2;Male;
Calle Alejandro Aguilar Machado;Alejandro Aguilar Machado;Alejandro;Aguilar;-2;Male;
Avenida Omar Dengo;Omar Dengo;Omar;Dengo;-2;Male;
